Nome,Email,Frentes,Seg7-8,Seg8-9,Seg9-10,Seg10-11,Seg11-12,Seg12-13,Seg13-14,Seg14-15,Seg15-16,Seg16-17,Seg17-18,Seg18-19,Seg19-20,Ter7-8,Ter8-9,Ter9-10,Ter10-11,Ter11-12,Ter12-13,Ter13-14,Ter14-15,Ter15-16,Ter16-17,Ter17-18,Ter18-19,Ter19-20,Qua7-8,Qua8-9,Qua9-10,Qua10-11,Qua11-12,Qua12-13,Qua13-14,Qua14-15,Qua15-16,Qua16-17,Qua17-18,Qua18-19,Qua19-20,Qui7-8,Qui8-9,Qui9-10,Qui10-11,Qui11-12,Qui12-13,Qui13-14,Qui14-15,Qui15-16,Qui16-17,Qui17-18,Qui18-19,Qui19-20,Sex7-8,Sex8-9,Sex9-10,Sex10-11,Sex11-12,Sex12-13,Sex13-14,Sex14-15,Sex15-16,Sex16-17,Sex17-18,Sex18-19,Sex19-20,Sab7-8,Sab8-9,Sab9-10,Sab10-11,Sab11-12,Sab12-13,Sab13-14,Sab14-15,Sab15-16,Sab16-17,Sab17-18,Sab18-19,Sab19-20,Dom7-8,Dom8-9,Dom9-10,Dom10-11,Dom11-12,Dom12-13,Dom13-14,Dom14-15,Dom15-16,Dom16-17,Dom17-18,Dom18-19,Dom19-20
Lucas Pereira,lucaspereira@exemplo.com,"ML4Smells, SE4Finance",P,P,R,R,A,A,A,A,,,,,,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,
Mariana Costa,marianacosta@exemplo.com,"Annotaise, StoneLab",P,P,O,O,O,O,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,A,A,,,,,,,,,,,
Gabriel Oliveira,gabrieloliveira@exemplo.com,"ML4SPL, IA4Law, ML4NFR",P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beatriz Santos,beatrizsantos@exemplo.com,"AI4Health, SM&P",P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
João Almeida,joaoalmeida@exemplo.com,"ML4Smells, SLR_ML4SPL, AISE_Website, StoneLab",P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana Rodrigues,anarodrigues@exemplo.com,"ML4NFR, ML4SPL, IA4Law, EyesOnSmells, Diversity4SE",P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felipe Lima,felipelima@exemplo.com,"Annotaise, ML4SPL, AI4Health",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camila Fernandes,camilafernandes@exemplo.com,"StoneLab, SM&P, AISE_Website",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Souza,rafaelsouza@exemplo.com,"ML4Smells, ML4NFR, SE4Finance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laura Martins,lauramartins@exemplo.com,"AISE_Website, AI4Health, ML4SPL, EcoSustain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
